"VAR","Variable","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","FRA","France","2013","2013","PC","Percentage","0","Units",,,100,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","FRA","France","2014","2014","PC","Percentage","0","Units",,,98,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","FRA","France","2015","2015","PC","Percentage","0","Units",,,100,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","FRA","France","2016","2016","PC","Percentage","0","Units",,,100,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","FRA","France","2017","2017","PC","Percentage","0","Units",,,100,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","DEU","Germany","2005","2005","PC","Percentage","0","Units",,,97.3,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","DEU","Germany","2010","2010","PC","Percentage","0","Units",,,100,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","DEU","Germany","2011","2011","PC","Percentage","0","Units",,,100,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","DEU","Germany","2012","2012","PC","Percentage","0","Units",,,99.99,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","DEU","Germany","2013","2013","PC","Percentage","0","Units",,,99.99,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","DEU","Germany","2014","2014","PC","Percentage","0","Units",,,100,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","DEU","Germany","2015","2015","PC","Percentage","0","Units",,,100,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","DEU","Germany","2016","2016","PC","Percentage","0","Units",,,100,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","GRC","Greece","2000","2000","PC","Percentage","0","Units",,,85,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","GRC","Greece","2005","2005","PC","Percentage","0","Units",,,91,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","GRC","Greece","2010","2010","PC","Percentage","0","Units",,,87.4,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","GRC","Greece","2011","2011","PC","Percentage","0","Units",,,88.2,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","GRC","Greece","2012","2012","PC","Percentage","0","Units",,,92.04,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","GRC","Greece","2013","2013","PC","Percentage","0","Units",,,92.8,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","GRC","Greece","2014","2014","PC","Percentage","0","Units",,,92.8,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","GRC","Greece","2015","2015","PC","Percentage","0","Units",,,93.4,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","GRC","Greece","2016","2016","PC","Percentage","0","Units",,,93.4,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","HUN","Hungary","1970","1970","PC","Percentage","0","Units",,,21,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","HUN","Hungary","1980","1980","PC","Percentage","0","Units",,,36,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","HUN","Hungary","1990","1990","PC","Percentage","0","Units",,,39.4,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","HUN","Hungary","2000","2000","PC","Percentage","0","Units",,,63.7,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","HUN","Hungary","2005","2005","PC","Percentage","0","Units",,,60.6,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","HUN","Hungary","2010","2010","PC","Percentage","0","Units",,,71.8,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","HUN","Hungary","2011","2011","PC","Percentage","0","Units",,,72.5,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","HUN","Hungary","2012","2012","PC","Percentage","0","Units",,,72.939187645059,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","HUN","Hungary","2013","2013","PC","Percentage","0","Units",,,72.76,"E","Estimated value"
